processed_text,subject,body,urgency
Monthly Performance Review Meeting. Consider adding more details to the FAQ section for better clarity.,Monthly Performance Review Meeting,Consider adding more details to the FAQ section for better clarity.,not_urgent
Confirmation of Office Directory Update. Performance reviews for all employees will be conducted next week.,Confirmation of Office Directory Update,Performance reviews for all employees will be conducted next week.,not_urgent
Network Crash Impacting All Users. Firewall settings need to be reviewed to address the security breach.,Network Crash Impacting All Users,Firewall settings need to be reviewed to address the security breach.,urgent
Network Crash Impacting All Users. Firewall settings need to be reviewed to address the security breach.,Network Crash Impacting All Users,Firewall settings need to be reviewed to address the security breach.,urgent
Confirmation of Office Directory Update. The office directory update is pending; kindly confirm the changes.,Confirmation of Office Directory Update,The office directory update is pending; kindly confirm the changes.,not_urgent
Request for Profile Update. Please provide feedback on the recent satisfaction survey results.,Request for Profile Update,Please provide feedback on the recent satisfaction survey results.,not_urgent
Reminder: Upcoming Maintenance. The office directory update is pending; kindly confirm the changes.,Reminder: Upcoming Maintenance,The office directory update is pending; kindly confirm the changes.,not_urgent
Emergency: Hardware Malfunction. Unauthorized access detected; escalate to the security team immediately.,Emergency: Hardware Malfunction,Unauthorized access detected; escalate to the security team immediately.,urgent
Network Crash Impacting All Users. Sensitive data has been exposed; we need to secure the system urgently.,Network Crash Impacting All Users,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Critical Alert: Unauthorized Access Detected. All transactions are failing due to a payment gateway issue.,Critical Alert: Unauthorized Access Detected,All transactions are failing due to a payment gateway issue.,urgent
Query Regarding Leave Balances. Performance reviews for all employees will be conducted next week.,Query Regarding Leave Balances,Performance reviews for all employees will be conducted next week.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. A critical bug has been detected that is halting operations.,Data Breach Confirmed! Urgent Investigation Needed,A critical bug has been detected that is halting operations.,urgent
Follow-Up: Employee Satisfaction Survey. We would like your input on the new website design.,Follow-Up: Employee Satisfaction Survey,We would like your input on the new website design.,not_urgent
Follow-Up: Employee Satisfaction Survey. Please provide feedback on the recent satisfaction survey results.,Follow-Up: Employee Satisfaction Survey,Please provide feedback on the recent satisfaction survey results.,not_urgent
Urgent: Stakeholder Meeting Postponed. The scheduled meeting with stakeholders has been delayed; inform all parties.,Urgent: Stakeholder Meeting Postponed,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Request for Profile Update. We would like your input on the new website design.,Request for Profile Update,We would like your input on the new website design.,not_urgent
Routine Check: System Logs. Please update the user profile picture at your earliest convenience.,Routine Check: System Logs,Please update the user profile picture at your earliest convenience.,not_urgent
Query Regarding Leave Balances. This is a reminder about the scheduled maintenance this weekend.,Query Regarding Leave Balances,This is a reminder about the scheduled maintenance this weekend.,not_urgent
Feedback Needed on Website Design. Can you confirm the leave balance for the current year?,Feedback Needed on Website Design,Can you confirm the leave balance for the current year?,not_urgent
Production Server Failure: Resolve ASAP. Firewall settings need to be reviewed to address the security breach.,Production Server Failure: Resolve ASAP,Firewall settings need to be reviewed to address the security breach.,urgent
Policy Update: Work from Home Guidelines. The issue is not urgent and can wait for regular working hours.,Policy Update: Work from Home Guidelines,The issue is not urgent and can wait for regular working hours.,not_urgent
Request for Profile Update. Consider adding more details to the FAQ section for better clarity.,Request for Profile Update,Consider adding more details to the FAQ section for better clarity.,not_urgent
Follow-Up: Employee Satisfaction Survey. Review the updated work-from-home guidelines attached herewith.,Follow-Up: Employee Satisfaction Survey,Review the updated work-from-home guidelines attached herewith.,not_urgent
Request for Profile Update. Can you confirm the leave balance for the current year?,Request for Profile Update,Can you confirm the leave balance for the current year?,not_urgent
Request for Profile Update. We would like your input on the new website design.,Request for Profile Update,We would like your input on the new website design.,not_urgent
Routine Check: System Logs. The office directory update is pending; kindly confirm the changes.,Routine Check: System Logs,The office directory update is pending; kindly confirm the changes.,not_urgent
Follow-Up: Employee Satisfaction Survey. This is a reminder about the scheduled maintenance this weekend.,Follow-Up: Employee Satisfaction Survey,This is a reminder about the scheduled maintenance this weekend.,not_urgent
Critical Alert: Unauthorized Access Detected. The scheduled meeting with stakeholders has been delayed; inform all parties.,Critical Alert: Unauthorized Access Detected,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Confirmation of Office Directory Update. The office directory update is pending; kindly confirm the changes.,Confirmation of Office Directory Update,The office directory update is pending; kindly confirm the changes.,not_urgent
Critical Bug in Production Environment. Please address this issue before the end of the day to avoid escalation.,Critical Bug in Production Environment,Please address this issue before the end of the day to avoid escalation.,urgent
Feedback Needed on Website Design. Routine log checks are required as part of the maintenance schedule.,Feedback Needed on Website Design,Routine log checks are required as part of the maintenance schedule.,not_urgent
Urgent: Stakeholder Meeting Postponed. A critical bug has been detected that is halting operations.,Urgent: Stakeholder Meeting Postponed,A critical bug has been detected that is halting operations.,urgent
Request for Profile Update. Can you confirm the leave balance for the current year?,Request for Profile Update,Can you confirm the leave balance for the current year?,not_urgent
Feedback Needed on Website Design. This is not critical and can be resolved later.,Feedback Needed on Website Design,This is not critical and can be resolved later.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. Firewall settings need to be reviewed to address the security breach.,Data Breach Confirmed! Urgent Investigation Needed,Firewall settings need to be reviewed to address the security breach.,urgent
Data Breach Confirmed! Urgent Investigation Needed. Production servers are overheating; shutdown required to prevent damage.,Data Breach Confirmed! Urgent Investigation Needed,Production servers are overheating; shutdown required to prevent damage.,urgent
Urgent: Stakeholder Meeting Postponed. The scheduled meeting with stakeholders has been delayed; inform all parties.,Urgent: Stakeholder Meeting Postponed,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Policy Update: Work from Home Guidelines. Can you confirm the leave balance for the current year?,Policy Update: Work from Home Guidelines,Can you confirm the leave balance for the current year?,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. All transactions are failing due to a payment gateway issue.,Data Breach Confirmed! Urgent Investigation Needed,All transactions are failing due to a payment gateway issue.,urgent
Policy Update: Work from Home Guidelines. Performance reviews for all employees will be conducted next week.,Policy Update: Work from Home Guidelines,Performance reviews for all employees will be conducted next week.,not_urgent
Critical Bug in Production Environment. The entire system is unresponsive and needs immediate resolution.,Critical Bug in Production Environment,The entire system is unresponsive and needs immediate resolution.,urgent
Query Regarding Leave Balances. Routine log checks are required as part of the maintenance schedule.,Query Regarding Leave Balances,Routine log checks are required as part of the maintenance schedule.,not_urgent
Confirmation of Office Directory Update. Review the updated work-from-home guidelines attached herewith.,Confirmation of Office Directory Update,Review the updated work-from-home guidelines attached herewith.,not_urgent
Critical Alert: Unauthorized Access Detected. A critical bug has been detected that is halting operations.,Critical Alert: Unauthorized Access Detected,A critical bug has been detected that is halting operations.,urgent
Query Regarding Leave Balances. Consider adding more details to the FAQ section for better clarity.,Query Regarding Leave Balances,Consider adding more details to the FAQ section for better clarity.,not_urgent
Urgent: Stakeholder Meeting Postponed. Sensitive data has been exposed; we need to secure the system urgently.,Urgent: Stakeholder Meeting Postponed,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Policy Update: Work from Home Guidelines. Please provide feedback on the recent satisfaction survey results.,Policy Update: Work from Home Guidelines,Please provide feedback on the recent satisfaction survey results.,not_urgent
Critical Alert: Unauthorized Access Detected. The entire system is unresponsive and needs immediate resolution.,Critical Alert: Unauthorized Access Detected,The entire system is unresponsive and needs immediate resolution.,urgent
Monthly Performance Review Meeting. Consider adding more details to the FAQ section for better clarity.,Monthly Performance Review Meeting,Consider adding more details to the FAQ section for better clarity.,not_urgent
Network Crash Impacting All Users. Sensitive data has been exposed; we need to secure the system urgently.,Network Crash Impacting All Users,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Confirmation of Office Directory Update. Consider adding more details to the FAQ section for better clarity.,Confirmation of Office Directory Update,Consider adding more details to the FAQ section for better clarity.,not_urgent
Production Server Failure: Resolve ASAP. A critical bug has been detected that is halting operations.,Production Server Failure: Resolve ASAP,A critical bug has been detected that is halting operations.,urgent
Production Server Failure: Resolve ASAP. Unauthorized access detected; escalate to the security team immediately.,Production Server Failure: Resolve ASAP,Unauthorized access detected; escalate to the security team immediately.,urgent
Follow-Up: Employee Satisfaction Survey. The office directory update is pending; kindly confirm the changes.,Follow-Up: Employee Satisfaction Survey,The office directory update is pending; kindly confirm the changes.,not_urgent
System Outage: Immediate Action Required. Firewall settings need to be reviewed to address the security breach.,System Outage: Immediate Action Required,Firewall settings need to be reviewed to address the security breach.,urgent
Reminder: Upcoming Maintenance. Can you confirm the leave balance for the current year?,Reminder: Upcoming Maintenance,Can you confirm the leave balance for the current year?,not_urgent
Policy Update: Work from Home Guidelines. Please update the user profile picture at your earliest convenience.,Policy Update: Work from Home Guidelines,Please update the user profile picture at your earliest convenience.,not_urgent
Monthly Performance Review Meeting. Can you confirm the leave balance for the current year?,Monthly Performance Review Meeting,Can you confirm the leave balance for the current year?,not_urgent
System Outage: Immediate Action Required. The scheduled meeting with stakeholders has been delayed; inform all parties.,System Outage: Immediate Action Required,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Query Regarding Leave Balances. The office directory update is pending; kindly confirm the changes.,Query Regarding Leave Balances,The office directory update is pending; kindly confirm the changes.,not_urgent
Monthly Performance Review Meeting. Routine log checks are required as part of the maintenance schedule.,Monthly Performance Review Meeting,Routine log checks are required as part of the maintenance schedule.,not_urgent
Security Incident: Firewall Breach. A critical bug has been detected that is halting operations.,Security Incident: Firewall Breach,A critical bug has been detected that is halting operations.,urgent
Suggestion: Enhance FAQ Section. The issue is not urgent and can wait for regular working hours.,Suggestion: Enhance FAQ Section,The issue is not urgent and can wait for regular working hours.,not_urgent
Query Regarding Leave Balances. The office directory update is pending; kindly confirm the changes.,Query Regarding Leave Balances,The office directory update is pending; kindly confirm the changes.,not_urgent
Follow-Up: Employee Satisfaction Survey. Can you confirm the leave balance for the current year?,Follow-Up: Employee Satisfaction Survey,Can you confirm the leave balance for the current year?,not_urgent
Request for Profile Update. Routine log checks are required as part of the maintenance schedule.,Request for Profile Update,Routine log checks are required as part of the maintenance schedule.,not_urgent
Urgent: Stakeholder Meeting Postponed. Firewall settings need to be reviewed to address the security breach.,Urgent: Stakeholder Meeting Postponed,Firewall settings need to be reviewed to address the security breach.,urgent
Data Breach Confirmed! Urgent Investigation Needed. Sensitive data has been exposed; we need to secure the system urgently.,Data Breach Confirmed! Urgent Investigation Needed,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Request for Profile Update. Consider adding more details to the FAQ section for better clarity.,Request for Profile Update,Consider adding more details to the FAQ section for better clarity.,not_urgent
"System Outage: Immediate Action Required. The main network is down, affecting all departments.",System Outage: Immediate Action Required,"The main network is down, affecting all departments.",urgent
Reminder: Upcoming Maintenance. We would like your input on the new website design.,Reminder: Upcoming Maintenance,We would like your input on the new website design.,not_urgent
Routine Check: System Logs. Please update the user profile picture at your earliest convenience.,Routine Check: System Logs,Please update the user profile picture at your earliest convenience.,not_urgent
High-Priority: Payment Gateway Down. Firewall settings need to be reviewed to address the security breach.,High-Priority: Payment Gateway Down,Firewall settings need to be reviewed to address the security breach.,urgent
Query Regarding Leave Balances. Please provide feedback on the recent satisfaction survey results.,Query Regarding Leave Balances,Please provide feedback on the recent satisfaction survey results.,not_urgent
Critical Alert: Unauthorized Access Detected. The entire system is unresponsive and needs immediate resolution.,Critical Alert: Unauthorized Access Detected,The entire system is unresponsive and needs immediate resolution.,urgent
System Outage: Immediate Action Required. The scheduled meeting with stakeholders has been delayed; inform all parties.,System Outage: Immediate Action Required,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Query Regarding Leave Balances. Please update the user profile picture at your earliest convenience.,Query Regarding Leave Balances,Please update the user profile picture at your earliest convenience.,not_urgent
Emergency: Hardware Malfunction. Firewall settings need to be reviewed to address the security breach.,Emergency: Hardware Malfunction,Firewall settings need to be reviewed to address the security breach.,urgent
Critical Alert: Unauthorized Access Detected. A critical bug has been detected that is halting operations.,Critical Alert: Unauthorized Access Detected,A critical bug has been detected that is halting operations.,urgent
Follow-Up: Employee Satisfaction Survey. Please provide feedback on the recent satisfaction survey results.,Follow-Up: Employee Satisfaction Survey,Please provide feedback on the recent satisfaction survey results.,not_urgent
Follow-Up: Employee Satisfaction Survey. We would like your input on the new website design.,Follow-Up: Employee Satisfaction Survey,We would like your input on the new website design.,not_urgent
Monthly Performance Review Meeting. Can you confirm the leave balance for the current year?,Monthly Performance Review Meeting,Can you confirm the leave balance for the current year?,not_urgent
Suggestion: Enhance FAQ Section. This is not critical and can be resolved later.,Suggestion: Enhance FAQ Section,This is not critical and can be resolved later.,not_urgent
High-Priority: Payment Gateway Down. A critical bug has been detected that is halting operations.,High-Priority: Payment Gateway Down,A critical bug has been detected that is halting operations.,urgent
System Outage: Immediate Action Required. The scheduled meeting with stakeholders has been delayed; inform all parties.,System Outage: Immediate Action Required,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Emergency: Hardware Malfunction. Unauthorized access detected; escalate to the security team immediately.,Emergency: Hardware Malfunction,Unauthorized access detected; escalate to the security team immediately.,urgent
Follow-Up: Employee Satisfaction Survey. Performance reviews for all employees will be conducted next week.,Follow-Up: Employee Satisfaction Survey,Performance reviews for all employees will be conducted next week.,not_urgent
System Outage: Immediate Action Required. Firewall settings need to be reviewed to address the security breach.,System Outage: Immediate Action Required,Firewall settings need to be reviewed to address the security breach.,urgent
Suggestion: Enhance FAQ Section. The office directory update is pending; kindly confirm the changes.,Suggestion: Enhance FAQ Section,The office directory update is pending; kindly confirm the changes.,not_urgent
Suggestion: Enhance FAQ Section. Routine log checks are required as part of the maintenance schedule.,Suggestion: Enhance FAQ Section,Routine log checks are required as part of the maintenance schedule.,not_urgent
Monthly Performance Review Meeting. Performance reviews for all employees will be conducted next week.,Monthly Performance Review Meeting,Performance reviews for all employees will be conducted next week.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. The entire system is unresponsive and needs immediate resolution.,Data Breach Confirmed! Urgent Investigation Needed,The entire system is unresponsive and needs immediate resolution.,urgent
Suggestion: Enhance FAQ Section. Can you confirm the leave balance for the current year?,Suggestion: Enhance FAQ Section,Can you confirm the leave balance for the current year?,not_urgent
Feedback Needed on Website Design. Performance reviews for all employees will be conducted next week.,Feedback Needed on Website Design,Performance reviews for all employees will be conducted next week.,not_urgent
Critical Alert: Unauthorized Access Detected. The scheduled meeting with stakeholders has been delayed; inform all parties.,Critical Alert: Unauthorized Access Detected,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Emergency: Hardware Malfunction. The scheduled meeting with stakeholders has been delayed; inform all parties.,Emergency: Hardware Malfunction,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Security Incident: Firewall Breach. The entire system is unresponsive and needs immediate resolution.,Security Incident: Firewall Breach,The entire system is unresponsive and needs immediate resolution.,urgent
Critical Alert: Unauthorized Access Detected. All transactions are failing due to a payment gateway issue.,Critical Alert: Unauthorized Access Detected,All transactions are failing due to a payment gateway issue.,urgent
"Emergency: Hardware Malfunction. The main network is down, affecting all departments.",Emergency: Hardware Malfunction,"The main network is down, affecting all departments.",urgent
High-Priority: Payment Gateway Down. Unauthorized access detected; escalate to the security team immediately.,High-Priority: Payment Gateway Down,Unauthorized access detected; escalate to the security team immediately.,urgent
Monthly Performance Review Meeting. Please update the user profile picture at your earliest convenience.,Monthly Performance Review Meeting,Please update the user profile picture at your earliest convenience.,not_urgent
System Outage: Immediate Action Required. Firewall settings need to be reviewed to address the security breach.,System Outage: Immediate Action Required,Firewall settings need to be reviewed to address the security breach.,urgent
Query Regarding Leave Balances. Consider adding more details to the FAQ section for better clarity.,Query Regarding Leave Balances,Consider adding more details to the FAQ section for better clarity.,not_urgent
Production Server Failure: Resolve ASAP. The entire system is unresponsive and needs immediate resolution.,Production Server Failure: Resolve ASAP,The entire system is unresponsive and needs immediate resolution.,urgent
Routine Check: System Logs. This is not critical and can be resolved later.,Routine Check: System Logs,This is not critical and can be resolved later.,not_urgent
Policy Update: Work from Home Guidelines. The office directory update is pending; kindly confirm the changes.,Policy Update: Work from Home Guidelines,The office directory update is pending; kindly confirm the changes.,not_urgent
Query Regarding Leave Balances. Consider adding more details to the FAQ section for better clarity.,Query Regarding Leave Balances,Consider adding more details to the FAQ section for better clarity.,not_urgent
Critical Bug in Production Environment. All transactions are failing due to a payment gateway issue.,Critical Bug in Production Environment,All transactions are failing due to a payment gateway issue.,urgent
Urgent: Stakeholder Meeting Postponed. Production servers are overheating; shutdown required to prevent damage.,Urgent: Stakeholder Meeting Postponed,Production servers are overheating; shutdown required to prevent damage.,urgent
Critical Bug in Production Environment. The entire system is unresponsive and needs immediate resolution.,Critical Bug in Production Environment,The entire system is unresponsive and needs immediate resolution.,urgent
Monthly Performance Review Meeting. Can you confirm the leave balance for the current year?,Monthly Performance Review Meeting,Can you confirm the leave balance for the current year?,not_urgent
System Outage: Immediate Action Required. Production servers are overheating; shutdown required to prevent damage.,System Outage: Immediate Action Required,Production servers are overheating; shutdown required to prevent damage.,urgent
"System Outage: Immediate Action Required. The main network is down, affecting all departments.",System Outage: Immediate Action Required,"The main network is down, affecting all departments.",urgent
Production Server Failure: Resolve ASAP. Unauthorized access detected; escalate to the security team immediately.,Production Server Failure: Resolve ASAP,Unauthorized access detected; escalate to the security team immediately.,urgent
Suggestion: Enhance FAQ Section. Consider adding more details to the FAQ section for better clarity.,Suggestion: Enhance FAQ Section,Consider adding more details to the FAQ section for better clarity.,not_urgent
"Production Server Failure: Resolve ASAP. The main network is down, affecting all departments.",Production Server Failure: Resolve ASAP,"The main network is down, affecting all departments.",urgent
"Network Crash Impacting All Users. The main network is down, affecting all departments.",Network Crash Impacting All Users,"The main network is down, affecting all departments.",urgent
Urgent: Stakeholder Meeting Postponed. Firewall settings need to be reviewed to address the security breach.,Urgent: Stakeholder Meeting Postponed,Firewall settings need to be reviewed to address the security breach.,urgent
Follow-Up: Employee Satisfaction Survey. Consider adding more details to the FAQ section for better clarity.,Follow-Up: Employee Satisfaction Survey,Consider adding more details to the FAQ section for better clarity.,not_urgent
Suggestion: Enhance FAQ Section. Can you confirm the leave balance for the current year?,Suggestion: Enhance FAQ Section,Can you confirm the leave balance for the current year?,not_urgent
Follow-Up: Employee Satisfaction Survey. The issue is not urgent and can wait for regular working hours.,Follow-Up: Employee Satisfaction Survey,The issue is not urgent and can wait for regular working hours.,not_urgent
Query Regarding Leave Balances. This is not critical and can be resolved later.,Query Regarding Leave Balances,This is not critical and can be resolved later.,not_urgent
System Outage: Immediate Action Required. Sensitive data has been exposed; we need to secure the system urgently.,System Outage: Immediate Action Required,Sensitive data has been exposed; we need to secure the system urgently.,urgent
System Outage: Immediate Action Required. The entire system is unresponsive and needs immediate resolution.,System Outage: Immediate Action Required,The entire system is unresponsive and needs immediate resolution.,urgent
Reminder: Upcoming Maintenance. The issue is not urgent and can wait for regular working hours.,Reminder: Upcoming Maintenance,The issue is not urgent and can wait for regular working hours.,not_urgent
Production Server Failure: Resolve ASAP. Sensitive data has been exposed; we need to secure the system urgently.,Production Server Failure: Resolve ASAP,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Suggestion: Enhance FAQ Section. The issue is not urgent and can wait for regular working hours.,Suggestion: Enhance FAQ Section,The issue is not urgent and can wait for regular working hours.,not_urgent
Request for Profile Update. Can you confirm the leave balance for the current year?,Request for Profile Update,Can you confirm the leave balance for the current year?,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. Sensitive data has been exposed; we need to secure the system urgently.,Data Breach Confirmed! Urgent Investigation Needed,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Request for Profile Update. This is not critical and can be resolved later.,Request for Profile Update,This is not critical and can be resolved later.,not_urgent
Production Server Failure: Resolve ASAP. Please address this issue before the end of the day to avoid escalation.,Production Server Failure: Resolve ASAP,Please address this issue before the end of the day to avoid escalation.,urgent
Critical Bug in Production Environment. The entire system is unresponsive and needs immediate resolution.,Critical Bug in Production Environment,The entire system is unresponsive and needs immediate resolution.,urgent
Security Incident: Firewall Breach. A critical bug has been detected that is halting operations.,Security Incident: Firewall Breach,A critical bug has been detected that is halting operations.,urgent
Critical Bug in Production Environment. Production servers are overheating; shutdown required to prevent damage.,Critical Bug in Production Environment,Production servers are overheating; shutdown required to prevent damage.,urgent
Urgent: Stakeholder Meeting Postponed. Please address this issue before the end of the day to avoid escalation.,Urgent: Stakeholder Meeting Postponed,Please address this issue before the end of the day to avoid escalation.,urgent
Request for Profile Update. Can you confirm the leave balance for the current year?,Request for Profile Update,Can you confirm the leave balance for the current year?,not_urgent
"Urgent: Stakeholder Meeting Postponed. The main network is down, affecting all departments.",Urgent: Stakeholder Meeting Postponed,"The main network is down, affecting all departments.",urgent
Request for Profile Update. The issue is not urgent and can wait for regular working hours.,Request for Profile Update,The issue is not urgent and can wait for regular working hours.,not_urgent
Query Regarding Leave Balances. Please provide feedback on the recent satisfaction survey results.,Query Regarding Leave Balances,Please provide feedback on the recent satisfaction survey results.,not_urgent
Feedback Needed on Website Design. Consider adding more details to the FAQ section for better clarity.,Feedback Needed on Website Design,Consider adding more details to the FAQ section for better clarity.,not_urgent
Urgent: Stakeholder Meeting Postponed. The scheduled meeting with stakeholders has been delayed; inform all parties.,Urgent: Stakeholder Meeting Postponed,The scheduled meeting with stakeholders has been delayed; inform all parties.,urgent
Urgent: Stakeholder Meeting Postponed. All transactions are failing due to a payment gateway issue.,Urgent: Stakeholder Meeting Postponed,All transactions are failing due to a payment gateway issue.,urgent
Monthly Performance Review Meeting. This is a reminder about the scheduled maintenance this weekend.,Monthly Performance Review Meeting,This is a reminder about the scheduled maintenance this weekend.,not_urgent
Confirmation of Office Directory Update. This is not critical and can be resolved later.,Confirmation of Office Directory Update,This is not critical and can be resolved later.,not_urgent
Security Incident: Firewall Breach. Firewall settings need to be reviewed to address the security breach.,Security Incident: Firewall Breach,Firewall settings need to be reviewed to address the security breach.,urgent
Emergency: Hardware Malfunction. Please address this issue before the end of the day to avoid escalation.,Emergency: Hardware Malfunction,Please address this issue before the end of the day to avoid escalation.,urgent
High-Priority: Payment Gateway Down. Sensitive data has been exposed; we need to secure the system urgently.,High-Priority: Payment Gateway Down,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Reminder: Upcoming Maintenance. Please update the user profile picture at your earliest convenience.,Reminder: Upcoming Maintenance,Please update the user profile picture at your earliest convenience.,not_urgent
"Critical Alert: Unauthorized Access Detected. The main network is down, affecting all departments.",Critical Alert: Unauthorized Access Detected,"The main network is down, affecting all departments.",urgent
Routine Check: System Logs. Can you confirm the leave balance for the current year?,Routine Check: System Logs,Can you confirm the leave balance for the current year?,not_urgent
Production Server Failure: Resolve ASAP. All transactions are failing due to a payment gateway issue.,Production Server Failure: Resolve ASAP,All transactions are failing due to a payment gateway issue.,urgent
Routine Check: System Logs. Can you confirm the leave balance for the current year?,Routine Check: System Logs,Can you confirm the leave balance for the current year?,not_urgent
Critical Bug in Production Environment. Unauthorized access detected; escalate to the security team immediately.,Critical Bug in Production Environment,Unauthorized access detected; escalate to the security team immediately.,urgent
Critical Bug in Production Environment. Unauthorized access detected; escalate to the security team immediately.,Critical Bug in Production Environment,Unauthorized access detected; escalate to the security team immediately.,urgent
Monthly Performance Review Meeting. Review the updated work-from-home guidelines attached herewith.,Monthly Performance Review Meeting,Review the updated work-from-home guidelines attached herewith.,not_urgent
Urgent: Stakeholder Meeting Postponed. All transactions are failing due to a payment gateway issue.,Urgent: Stakeholder Meeting Postponed,All transactions are failing due to a payment gateway issue.,urgent
Suggestion: Enhance FAQ Section. Please update the user profile picture at your earliest convenience.,Suggestion: Enhance FAQ Section,Please update the user profile picture at your earliest convenience.,not_urgent
Security Incident: Firewall Breach. Firewall settings need to be reviewed to address the security breach.,Security Incident: Firewall Breach,Firewall settings need to be reviewed to address the security breach.,urgent
Production Server Failure: Resolve ASAP. Please address this issue before the end of the day to avoid escalation.,Production Server Failure: Resolve ASAP,Please address this issue before the end of the day to avoid escalation.,urgent
High-Priority: Payment Gateway Down. All transactions are failing due to a payment gateway issue.,High-Priority: Payment Gateway Down,All transactions are failing due to a payment gateway issue.,urgent
Query Regarding Leave Balances. The issue is not urgent and can wait for regular working hours.,Query Regarding Leave Balances,The issue is not urgent and can wait for regular working hours.,not_urgent
Policy Update: Work from Home Guidelines. Please update the user profile picture at your earliest convenience.,Policy Update: Work from Home Guidelines,Please update the user profile picture at your earliest convenience.,not_urgent
Policy Update: Work from Home Guidelines. The office directory update is pending; kindly confirm the changes.,Policy Update: Work from Home Guidelines,The office directory update is pending; kindly confirm the changes.,not_urgent
Request for Profile Update. We would like your input on the new website design.,Request for Profile Update,We would like your input on the new website design.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. Sensitive data has been exposed; we need to secure the system urgently.,Data Breach Confirmed! Urgent Investigation Needed,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Reminder: Upcoming Maintenance. Review the updated work-from-home guidelines attached herewith.,Reminder: Upcoming Maintenance,Review the updated work-from-home guidelines attached herewith.,not_urgent
Routine Check: System Logs. Review the updated work-from-home guidelines attached herewith.,Routine Check: System Logs,Review the updated work-from-home guidelines attached herewith.,not_urgent
"Production Server Failure: Resolve ASAP. The main network is down, affecting all departments.",Production Server Failure: Resolve ASAP,"The main network is down, affecting all departments.",urgent
Monthly Performance Review Meeting. We would like your input on the new website design.,Monthly Performance Review Meeting,We would like your input on the new website design.,not_urgent
Suggestion: Enhance FAQ Section. Consider adding more details to the FAQ section for better clarity.,Suggestion: Enhance FAQ Section,Consider adding more details to the FAQ section for better clarity.,not_urgent
Request for Profile Update. Consider adding more details to the FAQ section for better clarity.,Request for Profile Update,Consider adding more details to the FAQ section for better clarity.,not_urgent
Production Server Failure: Resolve ASAP. Please address this issue before the end of the day to avoid escalation.,Production Server Failure: Resolve ASAP,Please address this issue before the end of the day to avoid escalation.,urgent
Follow-Up: Employee Satisfaction Survey. Consider adding more details to the FAQ section for better clarity.,Follow-Up: Employee Satisfaction Survey,Consider adding more details to the FAQ section for better clarity.,not_urgent
Query Regarding Leave Balances. Review the updated work-from-home guidelines attached herewith.,Query Regarding Leave Balances,Review the updated work-from-home guidelines attached herewith.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. Production servers are overheating; shutdown required to prevent damage.,Data Breach Confirmed! Urgent Investigation Needed,Production servers are overheating; shutdown required to prevent damage.,urgent
System Outage: Immediate Action Required. The entire system is unresponsive and needs immediate resolution.,System Outage: Immediate Action Required,The entire system is unresponsive and needs immediate resolution.,urgent
High-Priority: Payment Gateway Down. Production servers are overheating; shutdown required to prevent damage.,High-Priority: Payment Gateway Down,Production servers are overheating; shutdown required to prevent damage.,urgent
Query Regarding Leave Balances. Performance reviews for all employees will be conducted next week.,Query Regarding Leave Balances,Performance reviews for all employees will be conducted next week.,not_urgent
Request for Profile Update. We would like your input on the new website design.,Request for Profile Update,We would like your input on the new website design.,not_urgent
Suggestion: Enhance FAQ Section. Please update the user profile picture at your earliest convenience.,Suggestion: Enhance FAQ Section,Please update the user profile picture at your earliest convenience.,not_urgent
High-Priority: Payment Gateway Down. The entire system is unresponsive and needs immediate resolution.,High-Priority: Payment Gateway Down,The entire system is unresponsive and needs immediate resolution.,urgent
Reminder: Upcoming Maintenance. The issue is not urgent and can wait for regular working hours.,Reminder: Upcoming Maintenance,The issue is not urgent and can wait for regular working hours.,not_urgent
Feedback Needed on Website Design. Please provide feedback on the recent satisfaction survey results.,Feedback Needed on Website Design,Please provide feedback on the recent satisfaction survey results.,not_urgent
Critical Bug in Production Environment. Unauthorized access detected; escalate to the security team immediately.,Critical Bug in Production Environment,Unauthorized access detected; escalate to the security team immediately.,urgent
Feedback Needed on Website Design. Please provide feedback on the recent satisfaction survey results.,Feedback Needed on Website Design,Please provide feedback on the recent satisfaction survey results.,not_urgent
